ID,Name,Effect_Type,Tags,Default_Params,Param_Schema,Usage_Count,Category,Abilities_Using,Notes
1,damage,damage,"combat, offensive","{""type"": ""physical"", ""amount"": ""1d6"", ""scaling"": ""level""}","type, amount, scaling, resource, interval, duration, maxJumps, attenuation",135,COMBAT,Acid Breath; Acid Burst; Ancestral Vengeance; Backstab; Baleful Polymorph; Bash; ...,Consolidated: instant + DoT (interval/duration) + chain (maxJumps/attenuation) + resource drain
2,heal,heal,"combat, restoration, support","{""amount"": ""1d8"", ""scaling"": ""wis"", ""resource"": ""hp""}","resource, amount, scaling",14,COMBAT,Bandage; Cure Blind; Cure Critic; Cure Light; Full Heal; Group Heal; Heal; Lay Hands; ...,
3,modify,modify,"buff, debuff, attribute","{""target"": ""str"", ""amount"": 4, ""duration"": ""level""}","target, amount, duration",98,STATS,Apocalyptic Anthem; Aria Of Dissonance; Armor; Barkskin; Battle Howl; Bless; ...,Consolidated: stat_mod + resource_mod + saving_mod + size_mod. Target enum includes all attributes/combat stats/max resources/saves/size.
4,status,status,"status, buff, debuff","{""flag"": ""bless"", ""duration"": ""level * 2""}","flag, type, amount, duration, breakOnDamage, contestedBy, source, consumeOnCast",120,STATUS,Aware; Berserk; Bless; Bind; Blindness; Charm Person; Demonskin; Detect Invisibility; Empower; ...,Consolidated: simple status + CC + stealth + detection + resistance + vulnerability + reflect + elemental_hands + lifesteal + empowered (next spell buff)
5,cleanse,cleanse,"restoration, support","{""condition"": ""poison"", ""scope"": ""all""}","condition, scope",4,STATUS,Remove Curse; Remove Paralysis; Remove Poison; Sane Mind,Renamed from cure
6,dispel,dispel,"utility, magic","{""filter"": ""magic"", ""scope"": ""all"", ""power"": ""level""}","filter, scope, power",5,MAGIC,Dispel Magic; Douse; Enrapture; Extinguish; Peace,
7,reveal,reveal,"utility, information","{""type"": ""hidden"", ""depth"": ""room""}","type, depth, autoDispel",6,MAGIC,Enlightenment; Identify; Know Spell; Locate Object; Reveal Hidden; Wizard Eye,
8,teleport,teleport,"utility, movement, teleport","{""destination"": ""home"", ""scope"": ""self"", ""restrictions"": [""not_in_combat""]}","destination, scope, restrictions",16,TELEPORT,Dimension Door; Group Recall; Group Retreat; Moonwell; Plane Shift; Recall; Relocate; ...,Added scope param (self/target/group) - replaces broadcast_teleport
9,extract,extract,"offensive, utility","{""target"": ""mob""}","target, destroyEquipment",1,TELEPORT,Banish,Replaces complex banish effect. Tiered outcomes handled at ability level.
10,move,move,"combat, control","{""direction"": ""away"", ""distance"": 1}","direction, distance",0,COMBAT,,NEW: Forced movement - knockback/pull/swap
11,interrupt,interrupt,"combat, control","{""power"": ""skill""}","power, filter",0,COMBAT,,NEW: Stop spellcasting/channeling. Used by kick/bash/counterspell.
12,transform,transform,"utility, shapechange","{""form"": ""wolf"", ""duration"": ""level * 2""}","form, duration, hostile",3,UTILITY,Shapechange; Baleful Polymorph; ...,NEW: References form templates in forms.json
13,resurrect,resurrect,"restoration, special","{""hpPercent"": 0.1, ""expPenalty"": 0.1, ""equipTransfer"": true}","hpPercent, expPenalty, equipTransfer",1,CREATION,Resurrect,
14,create,create,"utility, creation","{""objectType"": ""food"", ""decay"": 24}","objectType, decay, quantity",6,CREATION,Armor Of Gaia; Create Food; Create Spring; Create Water; Flame Blade; Minor Creation,Renamed from create_object
15,summon,summon,"utility, summoning","{""mobType"": ""elemental"", ""duration"": 100, ""maxCount"": 1}","mobType, duration, maxCount, consumesCorpse",10,CREATION,Animate Dead; Clone; Heavens Gate; Summon Demon; Summon Elemental; ...,
16,enchant,enchant,"utility, magic, item","{""effect"": ""damage"", ""type"": ""fire"", ""amount"": ""skill * 2""}","effect, type, flag, amount, duration, charges",0,UTILITY,,NEW: Apply effects to objects. Duration=time-based, charges=hit-based expiry.
17,globe,globe,"buff, protection, magic","{""maxCircle"": 3, ""duration"": ""level""}","maxCircle, duration",2,UTILITY,Major Globe; Minor Globe,Blocks violent spells up to maxCircle. Dispel always bypasses.
18,room,room,"area, room","{""subtype"": ""effect"", ""type"": ""darkness"", ""duration"": 10}","subtype, type, duration, damagePerTick, damageOnMovement, hp, traversalRules",8,ROOM,Control Weather; Darkness; Illumination; Wall Of Fog; Wall Of Ice; Wall Of Stone; ...,Consolidated: room_effect (subtype=effect) + room_barrier (subtype=barrier)
